data;pstrat;workflow;no. class;similar;algorithm;repr;stop;stem;spar;info;accuracy;a3r
n1;p1;w4;2;0;knn;tf_idf;none;none;0.99;none;0.852126301;0.762347319
n1;p1;w8;2;0;ranger;tf_idf;none;none;0.99;none;0.960511768;0.875465119
n1;p1;w3;2;0;JRip;tf_idf;none;none;0.99;none;0.865144174;0.772262439
n1;p1;w7;2;0;svmLinear2;tf_idf;none;none;0.99;none;0.972356481;0.883315529
n1;p1;w2;2;0;J48;tf_idf;none;none;0.99;none;0.873600282;0.783006586
n1;p1;w1;2;0;nnet;tf_idf;none;none;0.99;none;0.975725928;0.882683419
n1;p1;w6;2;0;lda;tf_idf;none;none;0.99;none;0.810603398;0.726987518
n1;p1;w5;2;0;C5.0Tree;tf_idf;none;none;0.99;none;0.875860178;0.784058558
n1;p10;w76;2;0;knn;tf_idf;default;none;0.99;>0;0.93680207;0.854149893
n1;p10;w80;2;0;ranger;tf_idf;default;none;0.99;>0;0.963332191;0.880855686
n1;p10;w75;2;0;JRip;tf_idf;default;none;0.99;>0;0.891107406;0.814111718
n1;p10;w79;2;0;svmLinear2;tf_idf;default;none;0.99;>0;0.957674829;0.881057554
n1;p10;w74;2;0;J48;tf_idf;default;none;0.99;>0;0.884327765;0.810812128
n1;p10;w73;2;0;nnet;tf_idf;default;none;0.99;>0;0.965572975;0.888458643
n1;p10;w78;2;0;lda;tf_idf;default;none;0.99;>0;0.945832681;0.869499531
n1;p10;w77;2;0;C5.0Tree;tf_idf;default;none;0.99;>0;0.8860093;0.80795427
n1;p11;w84;2;0;knn;tf_idf;default;none;0.98;none;0.854393846;0.780041848
n1;p11;w88;2;0;ranger;tf_idf;default;none;0.98;none;0.965020103;0.888456711
n1;p11;w83;2;0;JRip;tf_idf;default;none;0.98;none;0.883207989;0.807834846
n1;p11;w87;2;0;svmLinear2;tf_idf;default;none;0.98;none;0.949204699;0.880944878
n1;p11;w82;2;0;J48;tf_idf;default;none;0.98;none;0.865717434;0.797208612
n1;p11;w81;2;0;nnet;tf_idf;default;none;0.98;none;0.9587933;0.889070994
n1;p11;w86;2;0;lda;tf_idf;default;none;0.98;none;0.887683214;0.821558285
n1;p11;w85;2;0;C5.0Tree;tf_idf;default;none;0.98;none;0.864570914;0.788622591
n1;p12;w92;2;0;knn;tf_idf;default;none;0.98;>0;0.903487185;0.830005889
n1;p12;w96;2;0;ranger;tf_idf;default;none;0.98;>0;0.965584432;0.890678211
n1;p12;w91;2;0;JRip;tf_idf;default;none;0.98;>0;0.892238651;0.819582893
n1;p12;w95;2;0;svmLinear2;tf_idf;default;none;0.98;>0;0.955983097;0.88946505
n1;p12;w90;2;0;J48;tf_idf;default;none;0.98;>0;0.86966014;0.804544052
n1;p12;w89;2;0;nnet;tf_idf;default;none;0.98;>0;0.968395934;0.901407799
n1;p12;w94;2;0;lda;tf_idf;default;none;0.98;>0;0.954846797;0.887723881
n1;p12;w93;2;0;C5.0Tree;tf_idf;default;none;0.98;>0;0.875294561;0.804234958
n1;p13;w100;2;0;knn;tf_idf;default;simple;0.99;none;0.85832761;0.769204749
n1;p13;w104;2;0;ranger;tf_idf;default;simple;0.99;none;0.967843045;0.879476405
n1;p13;w99;2;0;JRip;tf_idf;default;simple;0.99;none;0.883206775;0.79080801
n1;p13;w103;2;0;svmLinear2;tf_idf;default;simple;0.99;none;0.974611269;0.884230423
