"data";"workflow";"accuracy"
"n1";"w4";0.852126301
"n1";"w8";0.960511768
"n1";"w3";0.865144174
"n1";"w7";0.972356481
"n1";"w2";0.873600282
"n1";"w1";0.975725928
"n1";"w6";0.810603398
"n1";"w5";0.875860178
"n1";"w76";0.93680207
"n1";"w80";0.963332191
"n1";"w75";0.891107406
"n1";"w79";0.957674829
"n1";"w74";0.884327765
"n1";"w73";0.965572975
"n1";"w78";0.945832681
"n1";"w77";0.8860093
"n1";"w84";0.854393846
"n1";"w88";0.965020103
"n1";"w83";0.883207989
"n1";"w87";0.949204699
"n1";"w82";0.865717434
"n1";"w81";0.9587933
"n1";"w86";0.887683214
"n1";"w85";0.864570914
"n1";"w92";0.903487185
"n1";"w96";0.965584432
"n1";"w91";0.892238651
"n1";"w95";0.955983097
"n1";"w90";0.86966014
"n1";"w89";0.968395934
"n1";"w94";0.954846797
"n1";"w93";0.875294561
"n1";"w100";0.85832761
"n1";"w104";0.967843045
"n1";"w99";0.883206775
"n1";"w103";0.974611269
"n1";"w98";0.904050202
"n1";"w97";0.979683921
"n1";"w102";0.817921964
"n1";"w101";0.903479513
"n1";"w108";0.918729312
"n1";"w112";0.965023928
"n1";"w107";0.888265365
"n1";"w111";0.960504142
"n1";"w106";0.909698667
"n1";"w105";0.968983175
"n1";"w110";0.95317033
"n1";"w109";0.913652848
"n1";"w116";0.86172893
"n1";"w120";0.967839226
"n1";"w115";0.880922644
"n1";"w119";0.948646737
"n1";"w114";0.902357188
"n1";"w113";0.959375491
"n1";"w118";0.895613188
"n1";"w117";0.901789052
"n1";"w124";0.913678331
"n1";"w128";0.961069759
"n1";"w123";0.883746851
"n1";"w127";0.93962117
"n1";"w122";0.906320294
"n1";"w121";0.955998378
"n1";"w126";0.955994548
"n1";"w125";0.913651565
"n1";"w132";0.848739003
"n1";"w136";0.970659625
"n1";"w131";0.876991417
"n1";"w135";0.964444307
"n1";"w130";0.892216992
"n1";"w129";0.971790853
"n1";"w134";0.758585206
"n1";"w133";0.892772389
"n1";"w140";0.93284789
"n1";"w144";0.966714377
"n1";"w139";0.884903544
"n1";"w143";0.955403459
"n1";"w138";0.900679467
"n1";"w137";0.966141128
"n1";"w142";0.940747296
"n1";"w141";0.899555877
"n1";"w148";0.858905954
"n1";"w152";0.966143664
"n1";"w147";0.879255096
"n1";"w151";0.93735366
"n1";"w146";0.890525255
"n1";"w145";0.960506673
"n1";"w150";0.923233805
"n1";"w149";0.893909977
"n1";"w12";0.943565194
"n1";"w16";0.958817501
"n1";"w11";0.865693232
"n1";"w15";0.967830317
"n1";"w10";0.882627114
"n1";"w9";0.96896407
"n1";"w14";0.944126934
"n1";"w13";0.874153154
"n1";"w156";0.914784081
"n1";"w160";0.965021363
"n1";"w155";0.884890828
"n1";"w159";0.945808491
"n1";"w154";0.901246366
"n1";"w153";0.964441742
"n1";"w158";0.954290112
"n1";"w157";0.897855243
"n1";"w164";0.856080453
"n1";"w168";0.971788294
"n1";"w163";0.886574888
"n1";"w167";0.967834136
"n1";"w162";0.911385268
"n1";"w161";0.971789611
"n1";"w166";0.756369952
"n1";"w165";0.910259142
"n1";"w172";0.918739492
"n1";"w176";0.967277434
"n1";"w171";0.890527803
"n1";"w175";0.945818677
