"data";"pstrat";"user.x";"no.terms";"user.y";"workflow";"algorithm";"accuracy"
"n1";"p1";3.97999999999999;1946;81.93;"w4";"knn";0.852126301
"n1";"p1";3.97999999999999;1946;36.81;"w8";"ranger";0.960511768
"n1";"p1";3.97999999999999;1946;89.98;"w3";"JRip";0.865144174
"n1";"p1";3.97999999999999;1946;42.62;"w7";"svmLinear2";0.972356481
"n1";"p1";3.97999999999999;1946;75.8;"w2";"J48";0.873600282
"n1";"p1";3.97999999999999;1946;51.09;"w1";"nnet";0.975725928
"n1";"p1";3.97999999999999;1946;73.87;"w6";"lda";0.810603398
"n1";"p1";3.97999999999999;1946;79.86;"w5";"C5.0Tree";0.875860178
"n1";"p10";22.3599999999997;458;17.87;"w76";"knn";0.93680207
"n1";"p10";22.3599999999997;458;13.52;"w80";"ranger";0.963332191
"n1";"p10";22.3599999999997;458;14.78;"w75";"JRip";0.891107406
"n1";"p10";22.3599999999997;458;5.73;"w79";"svmLinear2";0.957674829
"n1";"p10";22.3599999999997;458;9.83;"w74";"J48";0.884327765
"n1";"p10";22.3599999999997;458;5.56;"w73";"nnet";0.965572975
"n1";"p10";22.3599999999997;458;6.6;"w78";"lda";0.945832681
"n1";"p10";22.3599999999997;458;17.64;"w77";"C5.0Tree";0.8860093
"n1";"p11";5.34000000000015;855;32.82;"w84";"knn";0.854393846
"n1";"p11";5.34000000000015;855;21.95;"w88";"ranger";0.965020103
"n1";"p11";5.34000000000015;855;30.11;"w83";"JRip";0.883207989
"n1";"p11";5.34000000000015;855;14.45;"w87";"svmLinear2";0.949204699
"n1";"p11";5.34000000000015;855;21.71;"w82";"J48";0.865717434
"n1";"p11";5.34000000000015;855;15.15;"w81";"nnet";0.9587933
"n1";"p11";5.34000000000015;855;16.78;"w86";"lda";0.887683214
"n1";"p11";5.34000000000015;855;34.22;"w85";"C5.0Tree";0.864570914
"n1";"p12";11.5399999999991;467;18.22;"w92";"knn";0.903487185
"n1";"p12";11.5399999999991;467;13.74;"w96";"ranger";0.965584432
"n1";"p12";11.5399999999991;467;18.35;"w91";"JRip";0.892238651
"n1";"p12";11.5399999999991;467;6.36;"w95";"svmLinear2";0.955983097
"n1";"p12";11.5399999999991;467;10.95;"w90";"J48";0.86966014
"n1";"p12";11.5399999999991;467;6.05;"w89";"nnet";0.968395934
"n1";"p12";11.5399999999991;467;6.92;"w94";"lda";0.954846797
"n1";"p12";11.5399999999991;467;18.03;"w93";"C5.0Tree";0.875294561
"n1";"p13";13.1599999999999;1655;67.09;"w100";"knn";0.85832761
